1; 54, 40, 44 , 54 
2; 54, 40, 44 , 54 
3; 23 , 123 
4; 22 , 122 
5; 169, 65, 24, 94 , 169, 124, 165, 194 
6; 168 , 168 
7; 120 , 135 , 20, 135 , 120 
8; 120 , 135 , 20, 135 , 120 
9; 120 , 135 , 20, 135 , 120 
10; 120 , 120 , 20 
11; 120 , 135 , 20, 135 , 120 
12; 120 , 120 , 20 
13; 135 , 20, 135 , 120 
14; 177 , 177 
15; 120 , 135 , 20, 135 , 120 
16; 120 , 135 , 20, 135 , 120 
43; 51 , 51 
