KANAL;typ;nazwa_dluga;Nazwa_krotka;Rozdzielczosc;USI;EPG_ID;typ_kanalu;male_logo;duze_logo;Lista_praw;ON_ID;TS_ID;S_ID;Type;IP;Port;Protocol;Service_Name;Content_Rights;
0;MOZAIKA;;;;;;;;;;;T01.00.84_E01.01.01;
20;Filmy i seriale;Comedy Central Family HD;Comedy Central Family HD;SD;46;14097;IP;D9D1BB69082FEBA5AA1AD52741A96E4F2E92ECA9.png;D9D1BB69082FEBA5AA1AD52741A96E4F2E92ECA9.png; ;1;57;156;1;232.0.21.217;5500;0;;1;T01.00.84_E01.01.01;
21;Informacja;TVN24;TVN24;SD;470;15012;IP;7790F40ECF8861491C137178778349DB797AEAAF.png;D2349620005FA01A6462BAB683A1DB9DF45548D8.png; 2 ;1;80;179;1;232.0.22.19;5500;0;;1;T01.00.84_E01.01.01;
22;Informacja;TVN24 HD;TVN24 HD;HD;465;14190;IP;3345A276972B09FF7DEFDDB7E93E600B3D203AF5.png;86DA6EF9FFD6B1056367CFB630739812E3D3E145.png; ;1;323;422;1;232.0.18.77;5500;1;;1;T01.00.84_E01.01.01;
23;Informacja;TVN24 BiS HD;TVN24 BiS HD;HD;464;14290;IP;82C6AD1209CF145754DFC4FCA13C609232FB9A8D.png;82C6AD1209CF145754DFC4FCA13C609232FB9A8D.png; ;1;367;466;1;232.0.21.161;5500;0;;1;T01.00.84_E01.01.01;
24;Informacja;TVP Info HD;TVP Info HD;HD;500;14014;IP;E92EFEB3C153D5118CA034533A1FD1D78F8DC86F.png;D78586F59AC7104EE15855ED3EB638E0589F82FB.png; 1 ;1;280;379;1;232.0.21.213;5500;0;;1;T01.00.84_E01.01.01;
25;Ogólne;TVP 3;TVP 3;SD;268;14215;IP;3B1ECF18FCDD161D129488016966E62CDD4B9CAE.png;5BDB6672CAD2B1DB9A3E43E9EFFEBF2D8894D1C1.png; 2 ;1;15;114;1;232.0.10.1;5500;0;;1;T01.00.84_E01.01.01;
28;Informacja;TV Republika;TV Republika;SD;491;14249;IP;F024A073E9CCCE5BABA9AA8F3428220792386520.png;E133918BDCE91D2174F3B4E5232E19B51377AFA0.png; ;1;206;305;1;232.0.22.94;5500;0;;1;T01.00.84_E01.01.01;
29;Informacja;Polsat News HD;Polsat News HD;HD;477;14233;IP;5DC1FE949E02F24D781773B7F0E061AB7F999E96.png;6056B3207CE0E3FE3FEFB0AB14DA875D2DFC4E5F.png; ;1;243;342;1;232.0.21.150;5500;0;;1;T01.00.84_E01.01.01;
30;Informacja;Superstacja;Superstacja;SD;490;15049;IP;5FF352E78FF752F085A0D98E3A14A844051F1467.png;CCB656604276F1729552FA8ED87C7ECF7980AE89.png; ;1;207;306;1;232.0.22.108;5500;0;;1;T01.00.84_E01.01.01;
31;Informacja;Polsat News 2;Polsat News 2;SD;476;14004;IP;23E0F27C73B8DEF695211975FF9742A10F6375B3.png;10849021A8E130EE1BB949836290D2A800A5C5A5.png; ;1;1;100;1;232.0.21.149;5500;0;;1;T01.00.84_E01.01.01;
32;Informacja;wPolsce 4K;wPolsce 4K;UHD_1;584;14323;IP;48B8D8799B188367C770464E6A95D6DBF099A428.png;48B8D8799B188367C770464E6A95D6DBF099A428.png; ;1;534;633;1;232.0.19.98;5500;1;;0;T01.00.84_E01.01.01;
33;Ogólne;Nowa TV  HD;Nowa TV  HD;HD;388;14287;IP;1807C7A046C159254524101A9E536AA6531D0FE3.png;4109CF7F390E17354FE7A49531AFA0F7F9137068.png; ;1;528;627;1;232.0.20.79;5500;1;;1;T01.00.84_E01.01.01;
34;Ogólne;Metro TV  HD;Metro TV  HD;HD;533;14289;IP;8C3FA501C964E91666E8D9878033318CF86F2E5F.png;7F789066A22A170B7A430019BC1CBF0CB187B289.png; ;1;529;628;1;232.0.20.85;5500;0;;1;T01.00.84_E01.01.01;
35;Ogólne;WP;WP;SD;523;14288;IP;FABD610152E04A5E082F22F4A7A22DD983133998.png;48EB3135FCEDCB1B8B79FBB907FF7354F027A389.png; ;1;26;125;1;232.0.22.97;5500;0;;1;T01.00.84_E01.01.01;
36;Ogólne;Zoom TV  HD;Zoom TV  HD;HD;522;14286;IP;477AFB3805AD064EF9A24A37B386DC02947992A1.png;1D0E460501DA6CE94A45D39336292824071A9432.png; ;1;533;632;1;232.0.20.78;5500;1;;1;T01.00.84_E01.01.01;
37;Ogólne;Epic Drama HD;Epic Drama HD;HD;556;14307;IP;3042FA42C6BD2D02C63399890F022B1CB3A2C3A8.png;3FBD825FA9213525A28490E8F27BDF3BF5684A8F.png; ;1;343;442;1;232.0.21.206;5500;0;;1;T01.00.84_E01.01.01;
44;Ogólne;Festival 4K;Festival 4K;UHD_1;408;14295;IP;7ADB21752DA8537AAE7433AF49FC4ADABD321CB6.png;DAEB3272B4701D6446070349569EFAF4AF124162.png; ;1;263;362;1;232.0.21.234;5500;0;;1;T01.00.84_E01.01.01;
46;Inne kana\u0142y;Promo VOD 1 ;Promo VOD 1 ;HD;497;14243;IP;361C9B0093EDF4944F4A3A467BDAFC49A828AD90.png;E373D5B55116C64D4B75A3A78CD89521657635B5.png; ;1;222;321;1;232.0.22.123;5500;0;;1;T01.00.84_E01.01.01;
111;Sport;Eurosport 1 HD;Eurosport 1 HD;HD;360;14162;IP;C04D70028629B99B05AA6318FE365084611A923A.png;9D36D5DF7B11A41A06BB6DAF297D26A21744D4F0.png; ;1;379;478;1;232.0.21.70;5500;0;;1;T01.00.84_E01.01.01;
112;Sport;Eurosport 2 HD;Eurosport 2 HD;HD;362;14163;IP;7E34E5A777CC7103DCFC2958EC55101E13AFA620.png;E26149BB785138D9E0B4DD1FA35EAD3B30B5F0DD.png; ;1;380;479;1;232.0.18.5;5500;1;;1;T01.00.84_E01.01.01;
113;Sport;TVP Sport HD;TVP Sport HD;HD;437;14108;IP;C5D6B1AA0D7D3D5CDD65A6F3B53FCF503637D4A8.png;62B1EEE3763E9F470F07C58F89A5F771C708141C.png; ;1;242;341;1;232.0.21.88;5500;0;;1;T01.00.84_E01.01.01;
114;Sport;Polsat Sport HD;Polsat Sport HD;HD;452;14296;IP;E74B0F6710BD3A3513EFC49A34F61BC2331C50A8.png;0866919C7EFD52079F3614A2E401CC32492598BB.png; 14 ;1;192;291;1;232.0.21.163;5500;0;;1;T01.00.84_E01.01.01;
115;Sport;Polsat Sport Extra HD;Polsat Sport Extra HD;HD;453;14297;IP;8FB4DA48ACFF0F674D7B03035A7EF1272EDAB2B9.png;E439BB23B58DFB4503BA9C06195A40A27B8D2CE4.png; 14 ;1;193;292;1;232.0.21.164;5500;0;;1;T01.00.84_E01.01.01;
116;Sport;Polsat Sport News HD;Polsat Sport News HD;HD;456;14298;IP;9D110B4EE7374094CCA6DA496E1235ECDC806118.png;09EDC98818060883817097416C4111F17819B8F4.png; 14 ;1;118;217;1;232.0.21.168;5500;0;;1;T01.00.84_E01.01.01;
117;Sport;Polsat Sport Fight HD;Polsat Sport Fight HD;HD;455;14299;IP;FE40931EE958DBFFE08173498BDD624104064FFC.png;F026EBE032CA81AF294037290251EFBDA5349174.png; 14 ;1;117;216;1;232.0.21.167;5500;0;;1;T01.00.84_E01.01.01;
118;Sport;nSport HD;nSport HD;HD;412;14146;IP;F02DC05B8472AE5C54BB245AE86982A432886D8C.png;94EE8671921565EE912C873C1756188F82E51643.png; ;1;43;142;1;232.0.21.41;5500;0;;1;T01.00.84_E01.01.01;
119;Sport;Eleven Sports 1 4K;Eleven Sports 1 4K;UHD_1;553;14305;IP;AA7DD4259AE63FA3BA7C15343BAA703B6C6DBB58.png;2C9B6B9F858F1EDFF1EDA1F23A8BA216A0AD884B.png; ;1;264;363;1;232.0.21.235;5500;0;;1;T01.00.84_E01.01.01;
120;Sport;Eleven Sports 1 HD;Eleven Sports 1 HD;HD;535;14271;IP;AA7DD4259AE63FA3BA7C15343BAA703B6C6DBB58.png;2C9B6B9F858F1EDFF1EDA1F23A8BA216A0AD884B.png; ;1;71;170;1;232.0.22.100;5500;0;;1;T01.00.84_E01.01.01;
121;Sport;Eleven Sports 2 HD;Eleven Sports 2 HD;HD;534;14272;IP;F6E4E5B81160F0041F0CA8C46635AD8F3E20FEBF.png;AA2CF5A164230758A89F65FB55CD7BE9E7C26696.png; ;1;78;177;1;232.0.22.114;5500;0;;1;T01.00.84_E01.01.01;
