KANAL;typ;nazwa_dluga;Nazwa_krotka;Rozdzielczosc;USI;EPG_ID;typ_kanalu;male_logo;duze_logo;Lista_praw;ON_ID;TS_ID;S_ID;Type;IP;Port;Protocol;Service_Name;Content_Rights;
0;MOZAIKA;;;;;;;;;;;T01.00.23_E01.00.26;
28;Informacja;TV Republika;TV Republika;SD;307;14249;IP;x_republika_eedfd7b049b1e4793e74c7b33.png;x_republika_fe75cfe4adada2c8a9511f6d5.png;;1;301;400;1;232.0.6.21;5500;0;TV Republika;1;T01.00.23_E01.00.26;
29;Informacja;Superstacja;Superstacja;SD;21;15049;IP;_1bb10021ae2dddc47c17aa7f7.superstacja__small;_8fbb62d454b37e67cb98164b4.superstacja__big;;1;225;324;1;232.0.6.20;5500;0;Superstacja;1;T01.00.23_E01.00.26;
33;Og\u00f3lne;Nowa TV;Nowa TV;SD;388;14287;IP;nowatv_x_1807c7a046c159254524101a9.png;nowatv_x_4109cf7f390e17354fe7a4953.png;;1;25;124;1;232.0.6.124;5500;0;Nowa TV;1;T01.00.23_E01.00.26;
34;Og\u00f3lne;Metro TV;Metro TV;SD;389;14289;IP;metro_x_8c3fa501c964e91666e8d9878.png;metro_x_7f789066a22a170b7a430019b.png;;1;144;243;1;232.0.6.8;5500;0;Metro TV;1;T01.00.23_E01.00.26;
36;Og\u00f3lne;Zoom TV;Zoom TV;SD;390;14286;IP;zoomtv_x_477afb3805ad064ef9a24a37b.png;zoomtv_x_1d0e460501da6ce94a45d3933.png;;1;108;207;1;232.0.6.26;5500;0;Zoom TV;1;T01.00.23_E01.00.26;
44;Og\u00f3lne;Festival 4K;Festival 4K;UHD_1;408;14295;IP;festivalk_x_a5f91bb43e524d2370e6d229d.png;festivalk_x_af05985dea783524e9864233c.png;;1;99;198;1;232.0.6.148;5500;0;Festival 4K;1;T01.00.23_E01.00.26;
46;Inne kana\u0142y;Promo TV;Promo TV;SD;20;101;IP;orange_x_d7638bbce99976cbc94c33477.png;orange_x_b87cedc1ade08c2e57c30636d.png;;1;224;323;1;232.0.12.57;5500;0;Promo TV;1;T01.00.23_E01.00.26;
111;Sport;Eurosport 1 HD;Eurosport 1 HD;HD;360;14162;IP;esp__x_c52c89e03af371f78135eb4c6.png;esp__x_79cc4f7b946e0aa0b4945f8c0.png;;1;44;143;1;232.0.8.13;5500;0;Eurosport 1 HD;1;T01.00.23_E01.00.26;
112;Sport;Eurosport 2 HD;Eurosport 2 HD;HD;362;14163;IP;esp__x_915848b99115d3f0131569080.png;esp__x_9fb8c4a6681207c99556a2b04.png;;1;45;144;1;232.0.8.14;5500;0;Eurosport 2 HD;1;T01.00.23_E01.00.26;
113;Sport;TVP Sport HD;TVP Sport HD;HD;437;14108;IP;x_tvpsporthd_5d1fb1d658caef8433f215a66.png;x_tvpsporthd_c23ffc4de99af09ca45cacea6.png;;1;242;341;1;232.0.20.88;5500;0;TVP SPORT HD IP;1;T01.00.23_E01.00.26;
122;Sport;Eleven HD;Eleven HD;HD;340;14271;IP;eleven_x_72cb546c70691df168a86a6eb.png;eleven_x_1dea6ca8f93e8384962b7c3ab.png;;1;71;170;1;232.0.6.71;5500;0;Eleven HD;1;T01.00.23_E01.00.26;
123;Sport;Eleven Sports HD;Eleven Sports HD;HD;341;14272;IP;eleven_sports_x_1d5736d098d17770c1763405b.png;eleven_sports_x_0cfe2e0864a7cfba4e6febb3f.png;;1;78;177;1;232.0.6.72;5500;0;Eleven Sports HD;1;T01.00.23_E01.00.26;
124;Sport;Extreme Sports;Extreme Sports;HD;85;14224;IP;_cc46b245ebd10c23bf10b61ea.extreme_sport_channel__small;_c25409896ab17fa5cf1d3481b.extreme_sport_channel__big;;1;246;345;1;232.0.11.17;5500;0;Extreme Sports;1;T01.00.23_E01.00.26;
125;Sport;SportKlub;SportKlub;SD;449;14216;IP;x_sportklub_fd845b6b498a03436b903aaae.png;x_sportklub_11a8986794f7dcb2128860ec7.png;;1;131;230;1;232.0.20.140;5500;0;SportKlub IP;1;T01.00.23_E01.00.26;
126;Sport;FightKlub HD;FightKlub HD;HD;442;14273;IP;fightklubhd_x_12b3410ae8e28e9b58cd3a76a.png;fightklubhd_x_07e91819f3f41dc44051bd01c.png;;1;105;204;0;232.0.20.133;5500;0;FightKlub HD IP;1;T01.00.23_E01.00.26;
127;Sport;FightBox HD;FightBox HD;HD;264;14197;IP;fightbox_hd_x_bb92e4b401ef0465df56cec9f.png;fightboxhd_x_089217cfae2146dcda497b6ac.png;;1;93;192;1;232.0.6.77;5500;0;FightBox HD;1;T01.00.23_E01.00.26;
128;Sport;Motowizja;Motowizja;SD;436;14232;IP;x_motowizja_714fb1e28026a03db4e66f089.png;x_motowizja_7c421ee050c14c46c6a880126.png;;1;37;147;1;232.0.20.85;5500;0;Motowizja IP;1;T01.00.23_E01.00.26;
130;Sport;Family Active;Family Active;SD;332;14259;IP;active_family_x_cddfc4ea94c4b6f017a9cf188.png;active_family_x_c9cc73461d519e5120c415b2c.png;;1;83;182;1;232.0.6.13;5500;0;Family Active;1;T01.00.23_E01.00.26;
131;Sport;nSport HD;nSport HD;HD;412;14146;IP;x_nsportplus_hd_40644ec9e22b248324dc68f31.png;x_nsportplus_hd_40644ec9e22b248324dc68f31.png;;1;43;142;1;232.0.20.41;5500;0;nSport HD IP;1;T01.00.23_E01.00.26;
133;Sport;Canal+ Sport;Canal+ Sport;HD;409;14207;IP;canalplus_sport_x_96e9d7b17ded44302392e06b5.png;canalplus_sport_x_310e660cc85c270252bdfce7a.png;2660809;1;354;453;1;232.0.20.32;5500;0;Canal+ Sport IP;1;T01.00.23_E01.00.26;
134;Sport;Canal+ Sport 2;Canal+ Sport 2;HD;410;14253;IP;canalplus_sport_x_84a73e40632efa006a8a16bf3.png;canalplus_sport_x_d81eabd1c08941f60a21e0e52.png;2660809;1;47;146;1;232.0.20.33;5500;0;Canal+ Sport 2 IP;1;T01.00.23_E01.00.26;
135;Sport;SPORT 38;SPORT 38;HD;443;10;IP;_71a89838bd1d514d30ee9d04a.default_hd__small;_2321769ede8b4f7afd4e4f6dd.default_hd_big__big;;1;137;137;1;232.0.20.70;5500;0;SPORT 38 IP;1;T01.00.23_E01.00.26;
221;Inne kana\u0142y;VOD Promo;VOD Promo;SD;302;14243;IP;x_promo_tv_de2ee15df5e9990948c9fa406.png;x_promo_tv_0bb3dacb1ced48cb78a08472a.png;;1;58;157;1;232.0.12.44;5500;0;VOD Promo;1;T01.00.23_E01.00.26;
222;Filmy i seriale;TVN Fabu\u0142a;TVN Fabu\u0142a;HD;328;14258;IP;tvn_fabula_x_7a4ccdef5b960edff90e5c0bc.png;tvn_fabula_x_8ded630ae6188c9fc38cd5b5a.png;2780757;1;18;117;1;232.0.8.1;5500;0;TVN Fabu&#x142a;1;T01.00.23_E01.00.26;
223;Filmy i seriale;TVP Seriale;TVP Seriale;SD;399;14130;IP;_4c13c756d928c97920b6b5ee6.tvp_seriale__small;_9c4b1cb2eeee94327186d97fe.tvp_seriale__big;2780757;1;154;253;1;232.0.12.30;5500;0;TVP Seriale IP;1;T01.00.23_E01.00.26;
224;Filmy i seriale;TVP Kultura;TVP Kultura;SD;100;14016;IP;_3a9e15334377c836128daa03d.tvp_kultura__small;_7522d6576933fd68c5bfbc177.tvp_kultura__big;2780757;1;133;232;1;232.0.6.38;5500;0;TVP Kultura;1;T01.00.23_E01.00.26;
225;Filmy i seriale;Stopklatka TV;Stopklatka TV;SD;287;14237;IP;x_stopklatka_d97815e92e2b5154306dbe8ae.png;x_stopklatka_5c8c446d83463a1d10f0cfef0.png;2780757;1;22;121;1;232.0.12.28;5500;0;Stopklatka TV;1;T01.00.23_E01.00.26;
226;Filmy i seriale;Kino Polska;Kino Polska;SD;435;15014;IP;_019609e07c1ffee2fa9c0eca9.kino_polska__small;_1d67778da58ad18b50b931933.kino_polska__big;;1;89;188;1;232.0.20.84;5500;0;Kino Polska IP;1;T01.00.23_E01.00.26;
228;Filmy i seriale;13 Ulica HD;13 Ulica HD;HD;378;14281;IP;ulica_x_25e49c4f426139758a09b97a1.png;ulica_x_e1b4608aa2f693289f104170c.png;;1;103;202;1;232.0.8.23;5500;0;13 Ulica HD;1;T01.00.23_E01.00.26;
229;Filmy i seriale;Comedy Central HD;Comedy Central HD;HD;309;14250;IP;x_comedycentralhd_c9a212af8771234d5f64a2d65.png;x_comedycentralhd_05a21df1924610f2b3e1823ee.png;;1;322;421;1;232.0.6.141;5500;0;Comedy Central HD;1;T01.00.23_E01.00.26;
230;Filmy i seriale;Comedy Central Family;Comedy Central Family;SD;46;14097;IP;_bf49a63f4563376f4031ff931.comedy_central_family__small;_7af2c17631c68fa253057570f.comedy_central_family__big;;1;57;156;1;232.0.12.14;5500;0;Comedy Central Family;1;T01.00.23_E01.00.26;
232;Filmy i seriale;Paramount Channel HD;Paramount Channel HD;HD;325;14175;IP;x_paramount_e85ff891798a009a118c16ac4.png;x_paramount_84dd6ee683272286fcd57215c.png;;1;210;309;1;232.0.8.2;5500;0;Paramount Channel HD;1;T01.00.23_E01.00.26;
233;Filmy i seriale;FilmBox;FilmBox;SD;432;14132;IP;x_filmbox_4504389497a179fd5342b0c89.png;x_filmbox_09dd85e88aa80d99f08056dd6.png;;1;159;258;1;232.0.20.81;5500;0;FilmBox IP;1;T01.00.23_E01.00.26;
234;Filmy i seriale;Universal Channel HD;Universal Channel HD;HD;318;14236;IP;_universal_cd557d731cfd6b687359ed4ba.png;x_universal_hd_9d84e54ea79bd11f6a12976ce.png;;1;353;452;1;232.0.9.4;5500;0;Universal Channel HD;1;T01.00.23_E01.00.26;
235;Filmy i seriale;TNT HD;TNT HD;HD;52;14219;IP;tnt_x_648221bc2348b8b16a28df1d3.png;tnt_x_40ca0f6539f2a5b62ee24284b.png;;1;248;347;1;232.0.11.19;5500;0;TNT;1;T01.00.23_E01.00.26;
236;Filmy i seriale;FOX HD;FOX HD;HD;16;14138;IP;fox_hd_x_b11a02c826abb335c118a1990.png;fox_hd_x_6dc9c51a2010b5d5c77be9822.png;;1;20;119;1;232.0.8.6;5500;0;FOX HD;1;T01.00.23_E01.00.26;
237;Filmy i seriale;FOX Comedy HD;FOX Comedy HD;HD;40;14166;IP;fox_comedy_hd_x_7adc7282f4e57a862bb222edf.png;fox_comedy_hd_x_5fbb5444326807b293303a1e5.png;;1;51;150;1;232.0.8.8;5500;0;FOX Comedy HD;1;T01.00.23_E01.00.26;
238;Inne kana\u0142y;Promo TV;Promo TV;SD;20;101;IP;orange_x_d7638bbce99976cbc94c33477.png;orange_x_b87cedc1ade08c2e57c30636d.png;;1;224;323;1;232.0.12.57;5500;0;Promo TV;1;T01.00.23_E01.00.26;
239;Filmy i seriale;AXN HD;AXN HD;HD;38;14172;IP;_54d0fb748e847af7718ebe2f9.axn_hd__small;_2ab6d95b3d392b63c7ecf0e83.axn_hd__big;;1;49;148;1;232.0.8.7;5500;0;AXN HD;1;T01.00.23_E01.00.26;
240;Filmy i seriale;AXN Black;AXN Black;SD;50;15047;IP;axn_black_x_7a37656698d430bfa72879bb7.png;axn_black_x_61550b16dec7c9350db412150.png;;1;364;463;1;232.0.9.15;5500;0;AXN Black;1;T01.00.23_E01.00.26;
241;Filmy i seriale;AXN White;AXN White;SD;49;15046;IP;axn_white_x_330384ca40af9232d29289dd6.png;axn_white_x_8eb1ef49712f72f40eeed0eda.png;;1;362;461;1;232.0.9.13;5500;0;AXN White;1;T01.00.23_E01.00.26;
